asset_id,source_locator,locale,short_description,long_description,status
o004.petrunin.fig.ch03.02,mppics/pic.mp#beginfig-16,id-ID,Tanda sudut sepanjang satu sinar,"Titik P, Q, dan Q' segaris dengan Q' pada sinar [PQ), sedangkan X berada di luar garis itu. Busur berarah pada Q dan Q' memperlihatkan bahwa sudut PQX dan PQ'X bertanda sama.",admitted
o004.petrunin.fig.ch03.03,mppics/pic.mp#beginfig-18,id-ID,Tanda sudut-sudut segitiga,"Titik B, A, dan Z segaris dengan A di antara B dan Z, sedangkan C berada di atas garis. Tiga busur berarah menandai sudut-sudut segitiga yang diperbandingkan dalam bukti bahwa semuanya bertanda sama.",admitted
o004.petrunin.fig.ch03.04,mppics/pic.mp#beginfig-838,id-ID,Pembagian sudut oleh sinar PB,"Titik A, B, dan C segaris dengan B di antara A dan C; P berada di luar garis dan dihubungkan ke ketiganya. Busur menandai sudut APB, BPC, dan APC yang bertanda sama.",admitted
o004.petrunin.fig.ch03.05,mppics/pic.mp#beginfig-20,id-ID,Dua titik pada sisi yang sama,"Titik X dan Y berada pada sisi yang sama dari garis PQ dan ruas XY tidak memotong garis tersebut. Busur searah pada Q menandai bahwa sudut PQX dan PQY bertanda sama.",admitted
o004.petrunin.fig.ch03.06,mppics/pic.mp#beginfig-22,id-ID,Ruas yang memotong garis pemisah,"Ruas XY memotong garis PQ di Z, dengan X dan Y pada sisi yang berlawanan. Busur pada Q menunjukkan bahwa sudut PQX dan PQY bertanda berlawanan.",admitted
o004.petrunin.fig.ch03.07,mppics/pic.mp#beginfig-24,id-ID,Sudut bertolak belakang dan dua ruas,"Garis AA' dan BB' berpotongan di O sehingga AOB dan A'OB' bertolak belakang. Ruas AB digambar pada satu sisi, sedangkan ruas A'B' pada sisi lain dan tidak memotong garis AB.",admitted
o004.petrunin.fig.ch03.08,mppics/pic.mp#beginfig-26,id-ID,Teorema Pasch pada sebuah segitiga,"Garis el tidak melalui titik sudut A, B, atau C dan melintasi tepat dua sisi segitiga ABC, menggambarkan alternatif perpotongan dalam Teorema Pasch.",admitted
o004.petrunin.fig.ch03.09,mppics/pic.mp#beginfig-28,id-ID,Perbandingan sudut pada sisi yang sama,"Titik X dan Y berada di atas garis PQ dan masing-masing dihubungkan ke P dan Q. Busur pada X dan Y membandingkan tanda sudut PXQ dan PYQ.",admitted
o004.petrunin.fig.ch03.10,mppics/pic.mp#beginfig-30,id-ID,Dua cevian yang berpotongan,"Dalam segitiga ABC, A' berada pada BC dan B' berada pada AC. Ruas AA' dan BB' berpotongan pada satu titik dalam segitiga yang digambar tanpa label.",admitted
o004.petrunin.fig.ch03.11,mppics/pic.mp#beginfig-32,id-ID,Segitiga sama kaki dan fungsi tali busur,"Segitiga ABC memiliki BA=BC=r dan sudut puncak beta di B. Alas AC diberi label s(beta,r) pada gambar, sedangkan teks mendefinisikan notasi s(r,beta).",admitted
o004.petrunin.fig.ch03.12,mppics/pic.mp#beginfig-34,id-ID,Konstruksi untuk taksiran sudut kecil,"Sinar BA dan BC yang simetris memiliki panjang r, BZ membagi sudut di B, dan D terletak pada ruas AX dengan Y dan X berurutan di luar A. Tanda kesamaan mendukung kekongruenan yang menghasilkan batas AC<epsilon.",admitted
o004.petrunin.fig.ch03.13,mppics/pic.mp#beginfig-35,id-ID,Kriteria perpotongan dua lingkaran,"Dua lingkaran berjari-jari r1 dan r2 berpusat pada O1 dan O2, dengan jarak pusat d. Gambar memperlihatkan konfigurasi berpotongan yang memenuhi |r1-r2|≤d≤r1+r2.",admitted
o004.petrunin.fig.ch04.01,mppics/pic.mp#beginfig-36,id-ID,Titik bantu dalam pembuktian ASA,"Segitiga A'B'C' digambar dengan C' pada sinar mendatar dari A' dan C'' lebih jauh pada sinar yang sama. Ruas B'C'' putus-putus membandingkan titik bantu C'' dengan titik C' dalam pembuktian bahwa keduanya harus berimpit.",admitted
o004.petrunin.fig.ch04.02,mppics/pic.mp#beginfig-38,id-ID,Segitiga sama kaki dan sudut alasnya,"Segitiga ABC memiliki puncak C dan alas AB. Tanda ruas menunjukkan CA=CB, sedangkan busur pada A dan B menandai sudut-sudut alas yang saling berlawanan tanda sebagai sudut berarah.",admitted
o004.petrunin.fig.ch04.03,mppics/pic.mp#beginfig-40,id-ID,Dua pasang segitiga sama kaki dalam bukti SSS,"Titik C' dan C'' berada di atas dan bawah ruas mendatar A'B'. Ruas dari A' ke C' dan C'' bertanda sama, demikian pula ruas dari B' ke C' dan C''; busur di C' dan C'' menunjukkan sudut yang dipakai untuk membuktikan kekongruenan SSS.",admitted
o004.petrunin.fig.ch04.04,mppics/pic.mp#beginfig-42,id-ID,Ruas-ruas dalam segitiga sama kaki,"Dalam segitiga sama kaki ABC dengan puncak C, titik A' terletak pada CB dan B' pada CA. Ruas AA' dan BB' berpotongan, sementara tanda ruas membedakan pasangan CA=CB dan CA'=CB' yang diberikan pada latihan.",admitted
o004.petrunin.fig.ch04.05,mppics/pic.mp#beginfig-44,id-ID,Ambiguitas sisi-sisi-sudut,"Titik A, C, dan C' berada pada satu sinar dengan C di antara A dan C', sedangkan B berada di atasnya. Segitiga ABC dan ABC' berbagi sisi AB dan sudut di A, sementara tanda ruas menunjukkan dua pilihan sisi dari B yang sama panjang; konfigurasi ini memperlihatkan bahwa SSA tidak menjamin kekongruenan.",admitted
o004.petrunin.fig.ch04.06,mppics/pic.mp#beginfig-445,id-ID,Data awal masalah konstruksi,"Dua garis berbeda el dan m digambar dengan sebuah titik M di daerah di antaranya dan tidak terletak pada salah satu garis. Sasaran konstruksi ialah ruas berujung pada kedua garis yang dibagi dua oleh M.",admitted
o004.petrunin.fig.ch04.07,mppics/pic.mp#beginfig-446,id-ID,Tahap pertama konstruksi,"Sebuah lingkaran berpusat di M memotong garis el pada dua titik yang diberi label P dan Q; garis m tetap digambar sebagai garis sasaran kedua.",admitted
o004.petrunin.fig.ch04.08,mppics/pic.mp#beginfig-447,id-ID,Titik-titik antipoda P' dan Q',"Garis PM dan QM diperpanjang melalui pusat lingkaran hingga berpotongan lagi dengan lingkaran di P' dan Q'. Dengan demikian P' dan Q' adalah pencerminan P dan Q terhadap M.",admitted
o004.petrunin.fig.ch04.09,mppics/pic.mp#beginfig-448,id-ID,Perpotongan garis el' dengan m,"Garis el'=P'Q' ditambahkan dan memotong garis m di A. Garis el' merupakan pencerminan garis el=PQ terhadap titik M.",admitted
o004.petrunin.fig.ch04.10,mppics/pic.mp#beginfig-449,id-ID,Ruas hasil konstruksi,"Garis MA diperpanjang hingga memotong el di B. Titik A dan B berada pada sisi berlawanan dari M dan merupakan pasangan cermin, sehingga M adalah titik tengah ruas AB.",admitted
o004.petrunin.fig.ch05.01,mppics/pic.mp#beginfig-46,id-ID,Penanda sudut siku-siku pada dua garis,"Dua garis berpotongan di O. Sebuah tanda persegi kecil pada salah satu sudut menandai bahwa kedua garis tersebut tegak lurus.",admitted
o004.petrunin.fig.ch05.02,mppics/pic.mp#beginfig-48,id-ID,Garis sumbu ruas AB,"Segitiga APB memiliki A dan B pada alas mendatar serta P di atasnya. Titik M adalah titik tengah AB; ruas PM tegak lurus AB, tanda ruas menunjukkan AM=MB dan PA=PB, dan tanda persegi menandai sudut siku-siku di M.",admitted
o004.petrunin.fig.ch05.03,mppics/pic.mp#beginfig-50,id-ID,Konstruksi garis tegak lurus melalui P,"Titik A dan B berada pada garis el, sedangkan P berada di satu sisi dan P' di sisi lainnya. Ruas PP' memotong el di Q secara tegak lurus; segiempat APBP' dan tanda kesamaan menggambarkan bahwa A dan B sama-sama berjarak sama dari P dan P'.",admitted
o004.petrunin.fig.ch05.04,mppics/pic.mp#beginfig-52,id-ID,Konfigurasi ketunggalan garis tegak lurus,"Garis el melalui Q dan Q', sedangkan garis m melalui P dan P'; keduanya berpotongan tegak lurus. Segiempat P-Q-P'-Q' dan tanda kesamaan jarak mendukung argumen bahwa P' juga terletak pada m sehingga garis tegak lurus itu tunggal.",admitted
o004.petrunin.fig.ch05.05,mppics/pic.mp#beginfig-54,id-ID,Pencerminan P terhadap garis AB,"Garis AB menjadi sumbu pencerminan pasangan P dan P'. Ruas PP' tegak lurus AB dan terbagi sama panjang; tanda ruas dan busur sudut menunjukkan AP=AP', BP=BP', serta pembalikan tanda sudut terhadap garis AB.",admitted
o004.petrunin.fig.ch05.06,mppics/pic.mp#beginfig-56,id-ID,Pencerminan segitiga PQR,"Segitiga PQR berada pada satu sisi garis AB dan bayangannya P'Q'R' pada sisi lainnya. Titik-titik bersesuaian dihubungkan melintasi garis cermin; tanda ruas dan busur sudut menegaskan pelestarian jarak serta pembalikan orientasi sudut.",admitted
o004.petrunin.fig.ch05.07,mppics/pic.mp#beginfig-58,id-ID,Ruas tegak lurus sebagai jarak terpendek,"Garis el melalui Q dan X. Titik P dan bayangannya P' berada pada garis tegak lurus melalui Q; tanda ruas menunjukkan PQ=P'Q dan PX=P'X, sehingga ketaksamaan segitiga membandingkan ruas miring PX dengan ruas tegak lurus PQ.",admitted
o004.petrunin.fig.ch05.08,mppics/pic.mp#beginfig-60,id-ID,Dua garis sumbu pada tiga titik segaris,"Titik A, B, dan C terletak pada garis el. Garis m melalui titik tengah AB dan garis n melalui titik tengah BC; keduanya tegak lurus el, dengan tanda ruas yang menandai masing-masing pasangan bagian sama panjang.",admitted
o004.petrunin.fig.ch05.09,mppics/pic.mp#beginfig-62,id-ID,Tiga lingkaran melalui dua titik bersama,"Tiga lingkaran berbeda berpotongan pada dua titik bersama A dan B. Konfigurasi ini menyertai latihan yang meminta pembuktian bahwa ketiga pusat lingkaran terletak pada garis sumbu AB.",admitted
o004.petrunin.fig.ch05.10,mppics/pic-hints.mp#beginfig-322,id-ID,Perbandingan jarak pada dua sisi garis sumbu,"Garis el melalui O dan Y serta tegak lurus AB di O. Titik A dan X berada pada satu sisi el, B pada sisi berlawanan, dan ruas BX memotong el di Y; tanda kesamaan mendukung perbandingan AX dengan BX.",admitted
o004.petrunin.fig.ch05.11,mppics/pic-hints.mp#beginfig-326,id-ID,Petunjuk konstruksi garis tegak lurus,"Sebuah garis tebal melalui A dan B menjadi data awal. Tiga lingkaran bantu menentukan titik-titik berjarak sama, dan sebuah garis putus-putus melalui O dan C menunjukkan kandidat garis tegak lurus yang dikonstruksi.",admitted
o004.petrunin.fig.ch05.12,mppics/pic-hints.mp#beginfig-328,id-ID,Petunjuk konstruksi pusat lingkaran,"Lingkaran tebal yang diberikan disertai beberapa lingkaran bantu berpusat pada titik-titik di kelilingnya. Dua garis hasil konstruksi berpotongan di O sebagai kandidat pusat lingkaran.",admitted
o004.petrunin.fig.ch05.13,mppics/pic-hints.mp#beginfig-330,id-ID,Petunjuk konstruksi garis singgung,"Sebuah lingkaran tebal berpusat di O, titik luar P, beberapa lingkaran bantu, garis diameter, dan satu ruas putus-putus membentuk konfigurasi konstruksi garis singgung melalui P.",admitted
o004.petrunin.fig.ch05.14,mppics/pic-hints.mp#beginfig-332,id-ID,Petunjuk lingkaran bersinggungan dengan dua lingkaran,"Dua lingkaran tebal berpusat di O1 dan O2 menjadi data awal, dan ruas tebal XY menetapkan jari-jari sasaran. Dua lingkaran bantu menentukan pusat Z; lingkaran putus-putus berpusat di Z menggambarkan kandidat yang bersinggungan dengan keduanya.",admitted
o004.petrunin.fig.ch06.01,mppics/pic.mp#beginfig-66,id-ID,Tinggi pada hipotenusa segitiga siku-siku,"Segitiga ABC bersudut siku-siku di C. Ruas CD ditarik tegak lurus ke hipotenusa AB dengan D di antara A dan B, sehingga terbentuk dua segitiga siku-siku yang digunakan dalam pembuktian teorema Pythagoras.",admitted
o004.petrunin.fig.ch06.02,mppics/pic.mp#beginfig-68,id-ID,Enam titik dan empat pasangan segitiga sebangun,"Segitiga ABC dan garis patah A-Y-X-B membentuk konfigurasi enam titik. Titik Z adalah perpotongan garis AY dan BX; tanda busur di A dan B menandai pasangan sudut yang sama untuk menelusuri empat pasangan segitiga sebangun.",admitted
o004.petrunin.fig.ch06.03,mppics/pic.mp#beginfig-69,id-ID,Garis sumbu hipotenusa segitiga siku-siku,"Segitiga ABC bersudut siku-siku di C dan M adalah titik tengah hipotenusa AB. Garis melalui M yang tegak lurus AB memotong sinar BC di P dan sinar AC di Q; tanda ruas menunjukkan AM=MB dan tanda siku-siku muncul di C serta M.",admitted
o004.petrunin.fig.ch06.04,mppics/pic.mp#beginfig-70,id-ID,Konstruksi untuk ketaksamaan Ptolemy,"Pada segiempat ABCD ditambahkan titik X pada sinar dari A. Ruas AX, BX, XD, AD, AB, BC, dan CD membentuk dua pasang segitiga yang dibandingkan; arsiran berbeda dan tanda busur di A menyoroti pasangan sudut dan segitiga sebangun dalam pembuktian.",admitted
o004.petrunin.fig.ch07.01,mppics/pic.mp#beginfig-72,id-ID,"Sepasang garis sejajar bertanda panah","Dua ruas miring yang terpisah memiliki arah dan panjang visual yang sama. Masing-masing diberi satu tanda panah sejenis untuk memperkenalkan konvensi gambar bagi garis-garis sejajar.",described-admitted
o004.petrunin.fig.ch07.02,mppics/pic.mp#beginfig-74,id-ID,"Konstruksi garis sejajar melalui P","Garis l melalui D dan Z serta garis m melalui P digambar sejajar. Garis n melalui D, R, dan P tegak lurus terhadap keduanya; garis s melalui P, Q, dan Z memotong konfigurasi, sedangkan QR tegak lurus n. Titik dan tanda siku-siku memperlihatkan konstruksi yang dipakai dalam bukti ketunggalan garis sejajar.",described-admitted
o004.petrunin.fig.ch07.03,mppics/pic.mp#beginfig-78,id-ID,"Pencerminan titik di antara dua garis sejajar","Garis l dan m yang sejajar memuat Q dan P. Ruas PQ berpusat di O dan tanda ruas sama menunjukkan bahwa O adalah titik tengah, sehingga P dan Q saling merupakan cerminan terhadap O.",described-admitted
o004.petrunin.fig.ch07.04,mppics/pic.mp#beginfig-80,id-ID,"Dua garis yang saling dicerminkan terhadap O","Dua garis lengkung visual l dan m berpotongan di titik Z dan Z' serta melalui P dan Q. Titik O adalah titik tengah P-Q dan Z-Z'; ruas Z-Z' digambar putus-putus untuk menampilkan pasangan titik yang dicerminkan terhadap O dalam argumen kontradiksi.",described-admitted
o004.petrunin.fig.ch07.05,mppics/pic.mp#beginfig-82,id-ID,"Transversal pada dua garis","Dua garis miring memuat pasangan A-B dan C-D. Garis melalui B dan C memotong keduanya sebagai transversal; panah berarah pada B dan C menandai sudut ABC dan BCD yang digunakan dalam sifat transversal.",described-admitted
o004.petrunin.fig.ch07.06,mppics/pic.mp#beginfig-84,id-ID,"Pencerminan A menjadi A' pada bukti transversal","Titik B, O, dan C segaris dengan O sebagai titik tengah BC. Titik A dan A' berada pada sisi berlawanan O dan saling dicerminkan; garis AB serta garis melalui A', C, dan D menyatakan pasangan garis sejajar, sementara AA' digambar putus-putus.",described-admitted
o004.petrunin.fig.ch07.07,mppics/pic.mp#beginfig-86,id-ID,"Konstruksi untuk jumlah sudut segitiga","Segiempat A-B-X-C mengelilingi titik M, dengan M titik tengah A-B sekaligus C-X sebagaimana ditunjukkan oleh dua jenis tanda ruas. Diagonal C-A diperpanjang sebagai garis bantu dan busur sudut menandai pasangan sudut yang dipakai untuk membuktikan jumlah sudut segitiga.",described-admitted
o004.petrunin.fig.ch07.08,mppics/pic.mp#beginfig-88,id-ID,"Konfigurasi latihan BA sama dengan AD sama dengan DC","Segitiga ABC memuat titik D pada BC dan ruas AD membagi sudut BAC. Tiga tanda ruas yang sama menandai BA, AD, dan DC, sedangkan dua busur di A menandai bahwa sudut BAD dan DAC sama.",described-admitted
o004.petrunin.fig.ch07.09,mppics/pic.mp#beginfig-90,id-ID,"Segitiga sama kaki dan cerminan titik A","Pada segitiga ABC, titik B berada di antara A dan D serta tanda ruas menunjukkan AB, BC, dan BD sama panjang. Ruas DC melengkapi konfigurasi dan tanda siku-siku putus-putus di C menyoroti kesimpulan bahwa sudut ACD siku-siku.",described-admitted
o004.petrunin.fig.ch07.10,mppics/pic.mp#beginfig-94,id-ID,"Jajar genjang ABCD","Segiempat miring ABCD memiliki satu tanda panah pada pasangan sisi AD dan BC serta dua tanda panah pada pasangan AB dan CD, yang menunjukkan bahwa kedua pasang sisi berhadapan sejajar.",described-admitted
o004.petrunin.fig.ch07.11,mppics/pic.mp#beginfig-96,id-ID,"Simetri pusat dan diagonal jajar genjang","Jajar genjang ABCD ditampilkan bersama diagonal AC dan BD yang berpotongan di M. Tanda ruas berbeda menunjukkan AM=MC dan BM=MD; busur putus-putus menghubungkan pasangan titik sudut yang saling dipetakan oleh pencerminan terhadap M.",described-admitted
o004.petrunin.fig.ch07.12,mppics/pic.mp#beginfig-98,id-ID,"Proyeksi P dan Q pada dua sumbu tegak lurus","Garis l mendatar dan m tegak lurus berpotongan sebagai sumbu koordinat. Titik P dan Q diproyeksikan ke l pada P_l dan Q_l serta ke m pada P_m dan Q_m; lima tanda siku-siku dan ruas PQ memperlihatkan dekomposisi jarak ke dalam dua komponen.",described-admitted
o004.petrunin.fig.ch07.13,mppics/pic.mp#beginfig-100,id-ID,"Keluarga lingkaran Apollonius","Fokus A dan B berada pada satu garis mendatar, dan beberapa lingkaran Apollonius digambar untuk k=1/8, 1/4, 1/2, 2, 4, dan 8. Garis tegak di tengah mewakili kasus k=1, sedangkan titik M pada salah satu lingkaran dihubungkan ke kedua fokus.",described-admitted
o004.petrunin.fig.ch07.14,mppics/pic-hints.mp#beginfig-333,id-ID,"Petunjuk garis PQ sejajar AC","Segitiga ABC memuat titik P pada AB dan Q pada CB. Ruas PQ melintang di dalam segitiga dan diberi tanda panah yang sama dengan alas AC, sehingga hubungan kesebangunan segitiga PBQ dan ABC terlihat langsung.",described-admitted
o004.petrunin.fig.ch07.15,mppics/pic-hints.mp#beginfig-335,id-ID,"Petunjuk konstruksi lingkaran Apollonius","Titik A dan B adalah fokus, sedangkan L, M, dan N terletak pada satu busur melalui M. Garis-garis bantu melalui P dan Q membentuk dua pasang ruas sejajar yang ditandai dengan satu atau dua panah; titik P dan Q menjadi titik tambahan pada lingkaran Apollonius yang dicari.",described-admitted
o004.petrunin.fig.ch08.01,mppics/pic.mp#beginfig-102,id-ID,"Pusat lingkaran luar segitiga","Segitiga ABC ditampilkan bersama garis-garis sumbu sisinya yang berpotongan di O. Kesamaan jarak OA, OB, dan OC memperlihatkan bahwa O merupakan pusat lingkaran yang melalui ketiga titik sudut.",described-admitted
o004.petrunin.fig.ch08.02,mppics/pic.mp#beginfig-104,id-ID,"Segitiga bantu untuk ortosenter","Segitiga bantu A'B'C' mengelilingi segitiga ABC. Titik A, B, dan C menjadi titik tengah sisi-sisi segitiga bantu sehingga garis tinggi ABC juga merupakan garis sumbu sisi-sisi A'B'C'.",described-admitted
o004.petrunin.fig.ch08.03,mppics/pic.mp#beginfig-106,id-ID,"Konstruksi titik berat","Dua garis berat AA' dan BB' berpotongan di M. Garis melalui A' yang sejajar dengan BB' memotong B'C di X dan membantu menunjukkan bahwa M membagi setiap garis berat dengan rasio dua banding satu.",described-admitted
o004.petrunin.fig.ch08.04,mppics/pic.mp#beginfig-108,id-ID,"Garis bagi sudut dan garis bagi luar","Sudut ABC ditampilkan bersama garis bagi sudut dan garis bagi luarnya. Sinar BA dan BA' yang berlawanan memperlihatkan pertukaran peran garis bagi ketika salah satu sisi sudut dibalik.",described-admitted
o004.petrunin.fig.ch08.05,mppics/pic.mp#beginfig-110,id-ID,"Bukti teorema garis bagi","Pada segitiga ABC, titik D terletak pada BC dan AD membagi sudut di A. Garis melalui C yang sejajar dengan AB memotong AD di E untuk membentuk pasangan segitiga sebangun dalam bukti rasio garis bagi.",described-admitted
o004.petrunin.fig.ch08.06,mppics/pic.mp#beginfig-118,id-ID,"Konfigurasi latihan garis bagi dan garis sejajar","Pada segitiga ABC, titik D terletak pada BC, E pada AB, dan F pada AC. Ruas DE sejajar dengan CA dan EF sejajar dengan BC dalam konfigurasi yang digunakan untuk membuktikan AE sama dengan FC.",described-admitted
o004.petrunin.fig.ch08.07,mppics/pic.mp#beginfig-112,id-ID,"Sifat berjarak sama dari dua sisi sudut","Titik X dicerminkan terhadap garis AB dan BC menjadi Y dan Z. Konfigurasi membandingkan XY dan XZ serta sudut-sudut di B untuk mencirikan garis bagi sudut dan garis bagi luar.",described-admitted
o004.petrunin.fig.ch08.08,mppics/pic.mp#beginfig-114,id-ID,"Pusat dan lingkaran dalam","Garis-garis bagi segitiga ABC berpotongan di I. Titik X, Y, dan Z adalah kaki tegak lurus dari I pada ketiga sisi, sehingga jarak I ke ketiga sisi terlihat sama.",described-admitted
o004.petrunin.fig.ch08.09,mppics/pic.mp#beginfig-116,id-ID,"Titik singgung lingkaran dalam","Lingkaran dalam segitiga ABC menyinggung BC, CA, dan AB masing-masing di X, Y, dan Z. Ruas-ruas dari setiap titik sudut ke dua titik singgung digunakan untuk memperoleh kesamaan panjang.",described-admitted
